,Í≤ΩÎ???KTX,?∏ÎÇ®??KTX,Í≤ΩÏ†Ñ??KTX,?ÑÎùº??KTX
2014,43621,6626,4424,2244
2015,41702,8675,4606,3146
2016,41266,10622,4984,3945
2017,32427,9228,5570,5766
